time, sat, X, Y, Z, Vx, Vy, Vz, clock, dclock
2024-01-07T00:15:00.000000000,G25,-19919.860573,17018.114087,2997.451631,nan,nan,nan,484.337256,6.94521770249613e-310
2024-01-07T00:15:00.000000000,G26,5255.310106,16608.086629,-20097.307751,nan,nan,nan,202.66507,6.94521736469594e-310
2024-01-07T00:15:00.000000000,G28,5337.173326,25843.618223,3002.310601,nan,nan,nan,-91.213623,-3.066174409491399e-48
2024-01-07T00:15:00.000000000,G29,-17632.343271,7067.801362,-18651.021063,nan,nan,nan,-609.026153,6.9452177246105e-310
2024-01-07T00:15:00.000000000,G30,256.139332,-24956.983238,-8563.327205,nan,nan,nan,-448.540841,6.9452173629671e-310
2024-01-07T00:15:00.000000000,G31,10078.022586,23552.74841,-6350.71356,nan,nan,nan,-227.139553,7.905315083977824e+145
2024-01-07T00:15:00.000000000,G32,2731.831598,16072.585649,21196.36791,nan,nan,nan,-603.057847,6.9452177109585e-310
2024-01-07T00:30:00.000000000,G01,14555.401293,-1386.223782,21851.449406,nan,nan,nan,165.443197,0.0
2024-01-07T00:30:00.000000000,G02,17248.221895,5351.103606,20059.094289,nan,nan,nan,-504.645322,6.94521811439906e-310
2024-01-07T00:30:00.000000000,G03,20316.528332,-7324.840338,15243.965755,nan,nan,nan,108.556571,6.9452181144054e-310
2024-01-07T00:30:00.000000000,G04,25355.172598,487.321593,-8109.061424,nan,nan,nan,259.464982,6.9452181144117e-310
2024-01-07T00:30:00.000000000,G05,-15745.326752,-3770.592199,-21248.911054,nan,nan,nan,-157.006021,6.94521811441803e-310
2024-01-07T00:30:00.000000000,G06,-5935.518772,-25660.424328,3030.324453,nan,nan,nan,453.452116,6.94521811442435e-310
2024-01-07T00:30:00.000000000,G07,8321.955064,-16667.940915,-18263.689978,nan,nan,nan,-30.990817,6.9452181144307e-310
2024-01-07T00:30:00.000000000,G08,26264.562382,5246.983615,-766.632029,nan,nan,nan,-160.817266,6.9452523412876e-310
2024-01-07T00:30:00.000000000,G09,18045.604476,-9062.819856,-17370.155213,nan,nan,nan,50.669639,6.9452525115592e-310
2024-01-07T00:30:00.000000000,G10,-7553.059932,21671.38212,13278.402435,nan,nan,nan,-68.315031,6.9452501154689e-310
2024-01-07T00:30:00.000000000,G11,-11922.404782,-22320.887353,-8124.673653,nan,nan,nan,-530.317841,6.94521810780387e-310
2024-01-07T00:30:00.000000000,G12,-20979.468797,5990.386952,14814.348064,nan,nan,nan,-465.287664,6.9452525188603e-310
2024-01-07T00:30:00.000000000,G13,-21304.510462,-13818.115883,-8360.486311,nan,nan,nan,613.319918,6.945252368677e-310
2024-01-07T00:30:00.000000000,G14,11101.150144,-21950.734314,9803.929148,nan,nan,nan,291.72964,6.9452524904527e-310
2024-01-07T00:30:00.000000000,G15,-26512.065884,-2739.77964,-1537.742713,nan,nan,nan,114.622571,6.9452181144528e-310
2024-01-07T00:30:00.000000000,G16,10973.662605,10705.710608,-22022.750135,nan,nan,nan,-389.314805,6.94521811445913e-310
2024-01-07T00:30:00.000000000,G17,4661.935505,-14463.380868,22217.084465,nan,nan,nan,720.460118,6.94521811446546e-310
2024-01-07T00:30:00.000000000,G18,-7354.313179,17917.914527,-18074.919134,nan,nan,nan,-525.79461,6.94525250535215e-310
2024-01-07T00:30:00.000000000,G19,-6091.099726,-16336.990718,19949.890134,nan,nan,nan,423.000393,6.9452181144718e-310
2024-01-07T00:30:00.000000000,G20,-6818.45383,-16025.569892,-20042.712209,nan,nan,nan,392.810305,6.945252318306e-310
2024-01-07T00:30:00.000000000,G21,17870.589438,10479.199221,17635.997426,nan,nan,nan,139.213533,6.94521810787107e-310
2024-01-07T00:30:00.000000000,G22,5401.38945,-20635.416189,16442.854499,nan,nan,nan,52.66087,6.9452181144781e-310
2024-01-07T00:30:00.000000000,G23,-16384.914856,20729.72279,1360.472891,nan,nan,nan,130.377332,6.94521810783945e-310
2024-01-07T00:30:00.000000000,G24,-17723.05058,-6731.609465,18353.393512,nan,nan,nan,-408.89407,6.94521811448127e-310
2024-01-07T00:30:00.000000000,G25,-19769.391587,16413.986551,5790.248444,nan,nan,nan,484.338485,6.9452181078513e-310
2024-01-07T00:30:00.000000000,G26,3723.195122,18231.251296,-18960.463811,nan,nan,nan,202.661999,6.9452524439489e-310
2024-01-07T00:30:00.000000000,G28,4942.32331,25440.078113,5799.072986,nan,nan,nan,-91.223483,6.9452523961012e-310
2024-01-07T00:30:00.000000000,G29,-19517.152137,6321.776761,-16970.193329,nan,nan,nan,-609.025987,6.94525249012703e-310
2024-01-07T00:30:00.000000000,G30,873.531394,-23936.399557,-11063.171869,nan,nan,nan,-448.536751,6.9452524890298e-310
2024-01-07T00:30:00.000000000,G31,9933.098597,24161.441075,-3561.342276,nan,nan,nan,-227.139809,6.9452524503836e-310
2024-01-07T00:30:00.000000000,G32,374.420639,15556.190715,21733.775998,nan,nan,nan,-603.060611,1.702593001779534e-123
2024-01-07T00:45:00.000000000,G01,15352.600613,1021.307751,21357.883453,nan,nan,nan,165.444057,0.0
2024-01-07T00:45:00.000000000,G02,18046.748977,7308.129246,18675.637866,nan,nan,nan,-504.640463,2.2690858508064674e-301
2024-01-07T00:45:00.000000000,G03,19210.151929,-5798.378789,17202.093142,nan,nan,nan,108.580142,4.580154854047814e+69
2024-01-07T00:45:00.000000000,G04,26062.318299,867.360703,-5394.671263,nan,nan,nan,259.473788,7.148135464239868e+247
2024-01-07T00:45:00.000000000,G05,-14306.960529,-5720.832885,-21819.437703,nan,nan,nan,-157.00764,1.575175149628476e+286
2024-01-07T00:45:00.000000000,G06,-5603.475289,-25244.40598,5888.574549,nan,nan,nan,453.440541,1.50188525642609e-309
2024-01-07T00:45:00.000000000,G07,9248.513698,-14584.093812,-19565.188857,nan,nan,nan,-30.999453,4.580154854024297e+69
2024-01-07T00:45:00.000000000,G08,25996.97807,5446.580992,-3573.349907,nan,nan,nan,-160.819529,2.0131744179067933e+262
2024-01-07T00:45:00.000000000,G09,19864.309585,-8615.575189,-15509.304648,nan,nan,nan,50.680553,2.489139460688216e-75
2024-01-07T00:45:00.000000000,G10,-8564.701029,22596.472317,10835.053303,nan,nan,nan,-68.316309,-5.7856418208567856e-307
2024-01-07T00:45:00.000000000,G11,-11935.287246,-23128.537302,-5402.877008,nan,nan,nan,-530.330694,2.104224360345394e-309
2024-01-07T00:45:00.000000000,G12,-19819.140347,4530.291754,16770.978651,nan,nan,nan,-465.290996,1.3467291029979547e+31
2024-01-07T00:45:00.000000000,G13,-20229.79698,-13661.38293,-10932.893318,nan,nan,nan,613.323521,7.302063264217065e+194
2024-01-07T00:45:00.000000000,G14,11961.931691,-22492.484079,7197.25061,nan,nan,nan,291.73889,4.134325727347844e-61
2024-01-07T00:45:00.000000000,G15,-26222.757038,-3039.795251,-4302.113341,nan,nan,nan,114.626119,-2.008348181961225e-268
2024-01-07T00:45:00.000000000,G16,9224.506955,12411.358311,-21887.083228,nan,nan,nan,-389.308017,1.6042812794702287e-291
2024-01-07T00:45:00.000000000,G17,7023.156852,-13881.927426,21973.464707,nan,nan,nan,720.459669,170.0748588540769
2024-01-07T00:45:00.000000000,G18,-8166.9628,15914.507673,-19555.706856,nan,nan,nan,-525.803115,2.277744384205414e-301
2024-01-07T00:45:00.000000000,G19,-3798.528925,-15744.687162,20929.026848,nan,nan,nan,423.005327,3.495920071778248e+209
2024-01-07T00:45:00.000000000,G20,-5598.41442,-17898.589871,-18816.580188,nan,nan,nan,392.808923,-7.585151215849673e-278
2024-01-07T00:45:00.000000000,G21,18541.2357,12147.949484,15804.150524,nan,nan,nan,139.212016,5.173558552213259e-297
2024-01-07T00:45:00.000000000,G22,6704.261796,-21715.100819,14417.600521,nan,nan,nan,52.654938,1.579749550151756e+108
2024-01-07T00:45:00.000000000,G23,-16551.639667,20581.570995,-1539.179795,nan,nan,nan,130.383896,6.94525014236265e-310
2024-01-07T00:45:00.000000000,G24,-18455.520354,-8686.121054,16816.693804,nan,nan,nan,-408.900698,6.37e-322
2024-01-07T00:45:00.000000000,G25,-19450.530773,15559.643462,8480.839458,nan,nan,nan,484.339713,6.9452534777666e-310
2024-01-07T00:45:00.000000000,G26,2353.433137,19809.647045,-17497.569745,nan,nan,nan,202.65893,6.94525014240455e-310
2024-01-07T00:45:00.000000000,G28,4412.850253,24768.160673,8495.981036,nan,nan,nan,-91.233376,6.94525014243063e-310
2024-01-07T00:45:00.000000000,G29,-21239.884314,5731.916124,-14999.441021,nan,nan,nan,-609.02552,6.9452501424654e-310
2024-01-07T00:45:00.000000000,G30,1628.437329,-22688.218876,-13368.780053,nan,nan,nan,-448.532664,6.9452501424741e-310
