system_time,count,delta_v_x,delta_v_y, delta_v_z, delta_th_x, delta_th_y, delta_th_z
2023-04-07 03:04:58.953667,23452,0.0004079,0.0007217,-0.0784500,0.0000000,-0.0001212,0.0000606
2023-04-07 03:04:58.961680,23460,0.0003766,0.0006276,-0.0783872,-0.0000606,-0.0001212,-0.0001212
2023-04-07 03:04:58.969915,23468,0.0005021,0.0005648,-0.0785441,0.0000000,-0.0001818,-0.0000606
2023-04-07 03:04:58.977796,23476,0.0005648,0.0005335,-0.0785128,0.0000606,-0.0001212,-0.0001212
2023-04-07 03:04:58.985830,23484,0.0005648,0.0004707,-0.0784814,0.0001212,-0.0001212,0.0000000
2023-04-07 03:04:58.993698,23492,0.0004393,0.0005335,-0.0784186,-0.0000606,-0.0003637,0.0000606
2023-04-07 03:04:59.001837,23500,0.0003452,0.0004393,-0.0784500,0.0001818,-0.0002424,0.0000000
2023-04-07 03:04:59.009743,23508,0.0002824,0.0005335,-0.0784186,0.0000606,-0.0001212,0.0001212
2023-04-07 03:04:59.017717,23516,0.0003452,0.0005962,-0.0783559,0.0001212,-0.0001818,0.0001212
2023-04-07 03:04:59.025763,23524,0.0003138,0.0005021,-0.0783872,0.0000000,-0.0003637,-0.0000606
2023-04-07 03:04:59.033776,23532,0.0002510,0.0005335,-0.0785441,0.0000000,-0.0002424,0.0000606
2023-04-07 03:04:59.041689,23540,0.0001883,0.0005962,-0.0784186,0.0000000,0.0000000,0.0000000
2023-04-07 03:04:59.049524,23548,0.0002510,0.0006590,-0.0784500,0.0000000,0.0000000,-0.0001818
2023-04-07 03:04:59.057664,23556,0.0003138,0.0005962,-0.0783559,0.0000606,0.0001818,-0.0001818
2023-04-07 03:04:59.065784,23564,0.0003766,0.0005021,-0.0784814,0.0000606,0.0001212,-0.0001212
2023-04-07 03:04:59.073737,23572,0.0003766,0.0005335,-0.0784186,0.0001212,0.0000606,0.0000000
2023-04-07 03:04:59.081606,23580,0.0004079,0.0004707,-0.0784814,0.0000606,0.0001212,0.0000000
2023-04-07 03:04:59.089594,23588,0.0004707,0.0005648,-0.0784500,0.0001212,0.0000606,0.0000606
2023-04-07 03:04:59.097676,23596,0.0004393,0.0006276,-0.0784500,0.0000606,0.0001212,0.0000000
2023-04-07 03:04:59.105596,23604,0.0003766,0.0005962,-0.0783559,0.0001212,0.0000606,0.0001212
2023-04-07 03:04:59.113658,23612,0.0003766,0.0005962,-0.0784186,-0.0000606,0.0001212,0.0000000
2023-04-07 03:04:59.121696,23620,0.0005021,0.0005648,-0.0784814,0.0000000,0.0000606,-0.0000606
2023-04-07 03:04:59.129683,23628,0.0004707,0.0004707,-0.0785441,-0.0000606,0.0001212,-0.0001212
2023-04-07 03:04:59.137859,23636,0.0005335,0.0004393,-0.0785441,0.0000606,0.0001212,-0.0000606
2023-04-07 03:04:59.145737,23644,0.0005962,0.0004393,-0.0784814,0.0000000,0.0000000,0.0000606
2023-04-07 03:04:59.153559,23652,0.0005335,0.0005021,-0.0784814,0.0000606,-0.0001212,0.0000000
