system_time,count,delta_v_x,delta_v_y, delta_v_z, delta_th_x, delta_th_y, delta_th_z
2023-01-30 17:45:07.163756,695,0.0004393,0.0003766,-0.0783872,0.0000000,-0.0001212,0.0000000
2023-01-30 17:45:07.171838,703,0.0003766,0.0005021,-0.0785441,0.0000606,0.0000000,-0.0001212
2023-01-30 17:45:07.179943,711,0.0003452,0.0005648,-0.0784186,0.0000000,-0.0001212,-0.0000606
2023-01-30 17:45:07.187843,719,0.0004079,0.0005648,-0.0785128,-0.0000606,-0.0000606,0.0000000
2023-01-30 17:45:07.195920,727,0.0004393,0.0005962,-0.0784814,0.0002424,0.0000000,-0.0000606
2023-01-30 17:45:07.203898,735,0.0005021,0.0005021,-0.0784500,0.0000606,-0.0000606,0.0000606
2023-01-30 17:45:07.211938,743,0.0004707,0.0004393,-0.0783872,0.0000000,0.0000606,0.0001212
2023-01-30 17:45:07.219905,751,0.0004707,0.0003138,-0.0784500,0.0000000,0.0000000,0.0000000
2023-01-30 17:45:07.227773,759,0.0004393,0.0003138,-0.0785128,0.0001212,0.0000000,0.0000000
2023-01-30 17:45:07.235830,767,0.0004707,0.0003138,-0.0784814,0.0001212,0.0000606,0.0000000
2023-01-30 17:45:07.243891,775,0.0004707,0.0004393,-0.0784500,0.0000606,0.0000000,0.0000000
2023-01-30 17:45:07.251821,783,0.0005335,0.0005021,-0.0784814,0.0000000,-0.0000606,0.0000606
2023-01-30 17:45:07.259912,791,0.0005962,0.0004079,-0.0784814,-0.0000606,-0.0000606,0.0000000
2023-01-30 17:45:07.267919,799,0.0005335,0.0005021,-0.0783872,0.0001212,-0.0000606,-0.0000606
2023-01-30 17:45:07.275986,807,0.0005335,0.0004393,-0.0785128,0.0000606,-0.0001212,-0.0000606
2023-01-30 17:45:07.283882,815,0.0005335,0.0004079,-0.0784814,0.0000606,-0.0001212,0.0000606
2023-01-30 17:45:07.291977,823,0.0004393,0.0003452,-0.0785128,0.0001818,-0.0003031,0.0000606
